pollster,sponsors,pollscore,transparency_score,sample_size,end_date,state,candidate_name,pct,cycle
Washington Post/George Mason University,NA,-0.8,9,730,2024-10-15,Georgia,Kamala Harris,51,2024
Washington Post/George Mason University,NA,-0.8,9,687,2024-10-15,Michigan,Kamala Harris,49,2024
Washington Post/George Mason University,NA,-0.8,9,652,2024-10-15,Nevada,Kamala Harris,48,2024
Washington Post/George Mason University,NA,-0.8,9,965,2024-10-15,North Carolina,Kamala Harris,47,2024
Washington Post/George Mason University,NA,-0.8,9,707,2024-10-15,Pennsylvania,Kamala Harris,49,2024
Washington Post/George Mason University,NA,-0.8,9,695,2024-10-15,Wisconsin,Kamala Harris,50,2024
Emerson,The Hill | Inside California Politics,-1.1,7,1000,2024-10-14,California,Kamala Harris,61,2024
Beacon/Shaw,FOX News,-1.1,9,870,2024-10-14,National,Kamala Harris,48,2024
Quinnipiac,NA,-0.5,9,1328,2024-10-14,Georgia,Kamala Harris,45,2024
Quinnipiac,NA,-0.5,9,1031,2024-10-14,North Carolina,Kamala Harris,49,2024
SurveyUSA,KING TV (Seattle) | The Seattle Times | University of Washington Center for an Informed Public,-1.3,8,703,2024-10-14,Washington,Kamala Harris,57,2024
East Carolina University,NA,-0.5,7,701,2024-10-14,Georgia,Kamala Harris,45.8,2024
Ipsos,Reuters,-0.9,9.5,769,2024-10-13,National,Kamala Harris,47,2024
YouGov,CBS News,-1.1,9,2712,2024-10-11,National,Kamala Harris,51,2024
Marist,NA,-0.9,9,1401,2024-10-10,National,Kamala Harris,52,2024
Siena/NYT,The Philadelphia Inquirer,-1.5,9,857,2024-10-10,Pennsylvania,Kamala Harris,50,2024
Siena/NYT,NA,-1.5,9,808,2024-10-10,Arizona,Kamala Harris,46,2024
University of Massachusetts Lowell/YouGov,NA,-1,9,600,2024-10-10,New Hampshire,Kamala Harris,50,2024
YouGov,University of Texas,-1.1,9,1091,2024-10-10,Texas,Kamala Harris,46,2024
Marquette Law School,NA,-1.1,10,652,2024-10-10,National,Kamala Harris,50,2024
University of Massachusetts Lowell/YouGov,NA,-1,9,800,2024-10-09,Pennsylvania,Kamala Harris,46,2024
Emerson,Nexstar,-1.1,7,1000,2024-10-08,Arizona,Kamala Harris,48.2,2024
Emerson,Nexstar,-1.1,7,1000,2024-10-08,Georgia,Kamala Harris,49.8,2024
Emerson,Nexstar,-1.1,7,950,2024-10-08,Michigan,Kamala Harris,49.7,2024
Emerson,Nexstar,-1.1,7,900,2024-10-08,Nevada,Kamala Harris,49.2,2024
Emerson,Nexstar,-1.1,7,1000,2024-10-08,North Carolina,Kamala Harris,49,2024
Emerson,Nexstar,-1.1,7,1000,2024-10-08,Pennsylvania,Kamala Harris,49,2024
Emerson,Nexstar,-1.1,7,1000,2024-10-08,Wisconsin,Kamala Harris,49.2,2024
Siena/NYT,NA,-1.5,9,656,2024-10-08,Montana,Kamala Harris,40,2024
Ipsos,ABC News,-0.9,9.5,1714,2024-10-08,National,Kamala Harris,50,2024
YouGov,Economist,-1.1,9,1230,2024-10-07,National,Kamala Harris,49,2024
Ipsos,Reuters,-0.9,9.5,1076,2024-10-07,National,Kamala Harris,47,2024
Quinnipiac,NA,-0.5,9,1007,2024-10-07,Michigan,Kamala Harris,47,2024
Quinnipiac,NA,-0.5,9,1412,2024-10-07,Pennsylvania,Kamala Harris,49,2024
Quinnipiac,NA,-0.5,9,1073,2024-10-07,Wisconsin,Kamala Harris,46,2024
Marist,NA,-0.9,9,1257,2024-10-07,Florida,Kamala Harris,47,2024
Marist,NA,-0.9,9,1186,2024-10-07,Texas,Kamala Harris,46,2024
Marist,NA,-0.9,9,1327,2024-10-07,Ohio,Kamala Harris,46,2024
The Washington Post,NA,-1.2,9,1002,2024-10-07,Ohio,Kamala Harris,45,2024
Siena/NYT,NA,-1.5,9,3385,2024-10-06,National,Kamala Harris,49,2024
Siena/NYT,NA,-1.5,9,622,2024-10-06,Florida,Kamala Harris,41,2024
Suffolk,Boston Globe,-1,8,500,2024-10-05,Massachusetts,Kamala Harris,61.2,2024
YouGov,Yahoo News,-1.1,9,1032,2024-10-04,National,Kamala Harris,47,2024
YouGov,Yahoo News,-1.1,9,1033,2024-10-04,National,Kamala Harris,48,2024
Mason-Dixon,NBC 6 Miami,-1.1,6,625,2024-10-04,Florida,Kamala Harris,43,2024
Siena/NYT,NA,-1.5,9,617,2024-10-04,Texas,Kamala Harris,44,2024
Christopher Newport U.,NA,-0.6,9,800,2024-10-04,Virginia,Kamala Harris,52,2024
Data for Progress,NA,-1.2,10,1211,2024-10-03,National,Kamala Harris,49,2024
YouGov,Economist,-1.1,9,1261,2024-10-01,National,Kamala Harris,49,2024
Emerson,NA,-1.1,7,1000,2024-10-01,National,Kamala Harris,50.2,2024
Marist,NPR | PBS News,-0.9,9,1294,2024-10-01,National,Kamala Harris,50,2024
UC Berkeley,LA Times,-0.2,9,3045,2024-10-01,California,Kamala Harris,57,2024
The Washington Post,NA,-1.2,9,1001,2024-09-29,North Carolina,Kamala Harris,48,2024
Quinnipiac,NA,-0.5,9,953,2024-09-29,North Carolina,Kamala Harris,47,2024
Quinnipiac,NA,-0.5,9,942,2024-09-29,Georgia,Kamala Harris,44,2024
Winthrop U.,NA,-0.3,8.5,1068,2024-09-29,South Carolina,Kamala Harris,42,2024
High Point University,NA,-0.4,8,589,2024-09-29,North Carolina,Kamala Harris,48,2024
Emerson,RealClearWorld,-1.1,7,920,2024-09-28,Arizona,Kamala Harris,47.6,2024
Emerson,RealClearWorld,-1.1,7,850,2024-09-28,North Carolina,Kamala Harris,49.1,2024
Emerson,RealClearPennsylvania,-1.1,7,1000,2024-09-28,Pennsylvania,Kamala Harris,49.3,2024
McCourtney Institute/YouGov,NA,-1.1,6.5,848,2024-09-27,National,Kamala Harris,48,2024
Siena/NYT,NA,-1.5,9,680,2024-09-26,Nebraska CD-2,Kamala Harris,52,2024
SurveyUSA,KSTP-TV Minneapolis | WDIV-TV | KAAL-TV,-1.3,8,646,2024-09-26,Minnesota,Kamala Harris,50,2024
East Carolina University,NA,-0.5,7,1005,2024-09-26,North Carolina,Kamala Harris,47.1,2024
Siena/NYT,NA,-1.5,9,688,2024-09-26,Michigan,Kamala Harris,48,2024
Siena/NYT,NA,-1.5,9,687,2024-09-26,Ohio,Kamala Harris,44,2024
Siena/NYT,NA,-1.5,9,680,2024-09-26,Wisconsin,Kamala Harris,49,2024
Marquette Law School,NA,-1.1,10,798,2024-09-26,Wisconsin,Kamala Harris,52,2024
Echelon Insights,NA,-0.8,9,1005,2024-09-25,National,Kamala Harris,52,2024
Emerson,The Hill | PIX 11,-1.1,7,1000,2024-09-25,New York,Kamala Harris,55.5,2024
CNN/SSRS,NA,-0.6,10,931,2024-09-25,North Carolina,Kamala Harris,48,2024
CNN/SSRS,NA,-0.6,10,749,2024-09-25,Nebraska CD-2,Kamala Harris,53,2024
AtlasIntel,NA,-0.8,6,946,2024-09-25,Arizona,Kamala Harris,48.6,2024
AtlasIntel,NA,-0.8,6,918,2024-09-25,Michigan,Kamala Harris,46.6,2024
AtlasIntel,NA,-0.8,6,858,2024-09-25,Nevada,Kamala Harris,50.6,2024
AtlasIntel,NA,-0.8,6,1775,2024-09-25,Pennsylvania,Kamala Harris,48,2024
AtlasIntel,NA,-0.8,6,1077,2024-09-25,Wisconsin,Kamala Harris,48.2,2024
AtlasIntel,NA,-0.8,6,1173,2024-09-25,North Carolina,Kamala Harris,50.8,2024
AtlasIntel,NA,-0.8,6,1200,2024-09-25,Georgia,Kamala Harris,49,2024
Emerson,The Hill | Nexstar,-1.1,7,950,2024-09-24,Texas,Kamala Harris,46.7,2024
Emerson,The Hill | Nexstar,-1.1,7,860,2024-09-24,Virginia,Kamala Harris,52.7,2024
YouGov,Economist,-1.1,9,1220,2024-09-24,National,Kamala Harris,49,2024
YouGov,CBS News,-1.1,9,1441,2024-09-24,Georgia,Kamala Harris,49,2024
Beacon/Shaw,FOX News,-1.1,9,764,2024-09-24,Arizona,Kamala Harris,47,2024
Beacon/Shaw,FOX News,-1.1,9,707,2024-09-24,Georgia,Kamala Harris,50,2024
Beacon/Shaw,FOX News,-1.1,9,787,2024-09-24,North Carolina,Kamala Harris,47,2024
Beacon/Shaw,FOX News,-1.1,9,775,2024-09-24,Pennsylvania,Kamala Harris,47,2024
Marist,NA,-0.9,9,1264,2024-09-24,Arizona,Kamala Harris,49,2024
Marist,NA,-0.9,9,1348,2024-09-24,North Carolina,Kamala Harris,49,2024
Marist,NA,-0.9,9,1220,2024-09-24,Georgia,Kamala Harris,49,2024
Suffolk,USA Today,-1,8,500,2024-09-24,Arizona,Kamala Harris,42.4,2024
SurveyUSA,NA,-1.3,8,558,2024-09-23,Nebraska,Kamala Harris,40,2024
University of Maryland/Washington Post,NA,-0.3,8,1012,2024-09-23,Maryland,Kamala Harris,63,2024
Ipsos,Reuters,-0.9,9.5,785,2024-09-22,National,Kamala Harris,50,2024
CNN/SSRS,NA,-0.6,10,2074,2024-09-22,National,Kamala Harris,48,2024
Quinnipiac,NA,-0.5,9,1728,2024-09-22,National,Kamala Harris,47,2024
Siena/NYT,NA,-1.5,9,713,2024-09-21,Arizona,Kamala Harris,45,2024
Siena/NYT,NA,-1.5,9,682,2024-09-21,Georgia,Kamala Harris,45,2024
Siena/NYT,NA,-1.5,9,682,2024-09-21,North Carolina,Kamala Harris,47,2024
YouGov,CBS News,-1.1,9,3129,2024-09-20,National,Kamala Harris,52,2024
Remington,American Fuel & Petrochemical Manufacturers,-0.6,7,800,2024-09-20,Michigan,Kamala Harris,49,2024
Remington,American Fuel & Petrochemical Manufacturers,-0.6,7,800,2024-09-20,Nevada,Kamala Harris,48,2024
Remington,American Fuel & Petrochemical Manufacturers,-0.6,7,800,2024-09-20,Pennsylvania,Kamala Harris,47,2024
Remington,American Fuel & Petrochemical Manufacturers,-0.6,7,800,2024-09-20,Wisconsin,Kamala Harris,48,2024
Remington,American Fuel & Petrochemical Manufacturers,-0.6,7,800,2024-09-20,Montana,Kamala Harris,39,2024
Muhlenberg,Morning Call,-1,8,450,2024-09-19,Pennsylvania,Kamala Harris,48,2024
University of Massachusetts Lowell/YouGov,NA,-1,9,650,2024-09-19,Michigan,Kamala Harris,48,2024
University of Massachusetts Lowell/YouGov,NA,-1,9,800,2024-09-19,Pennsylvania,Kamala Harris,48,2024
Mason-Dixon,Minneapolis Star Tribune | MPR News | KARE-TV,-1.1,6,800,2024-09-18,Minnesota,Kamala Harris,48,2024
Suffolk,USA Today,-1,8,500,2024-09-18,Michigan,Kamala Harris,47.6,2024
Emerson,The Hill,-1.1,7,868,2024-09-18,Arizona,Kamala Harris,48.7,2024
Emerson,The Hill,-1.1,7,975,2024-09-18,Georgia,Kamala Harris,48.2,2024
Emerson,The Hill,-1.1,7,875,2024-09-18,Michigan,Kamala Harris,50,2024
Emerson,The Hill,-1.1,7,895,2024-09-18,Nevada,Kamala Harris,48.8,2024
Emerson,The Hill,-1.1,7,880,2024-09-18,Pennsylvania,Kamala Harris,49.6,2024
Emerson,The Hill,-1.1,7,1000,2024-09-18,North Carolina,Kamala Harris,49.7,2024
Emerson,The Hill,-1.1,7,1000,2024-09-18,Wisconsin,Kamala Harris,48.7,2024
MassINC Polling Group,Spotlight PA,-0.8,7,800,2024-09-18,Pennsylvania,Kamala Harris,50,2024
MassINC Polling Group,WBUR | Commonwealth Beacon,-0.8,7,800,2024-09-18,Massachusetts,Kamala Harris,60,2024
SurveyUSA,KOB-TV (Albuquerque),-1.3,8,619,2024-09-18,New Mexico,Kamala Harris,50,2024
MassINC Polling Group,Wisconsin Watch,-0.8,7,800,2024-09-18,Wisconsin,Kamala Harris,51,2024
MassINC Polling Group,CT Mirror,-0.8,7,800,2024-09-18,Connecticut,Kamala Harris,53,2024
MassINC Polling Group,Rhode Island Current,-0.8,7,800,2024-09-18,Rhode Island,Kamala Harris,53,2024
Marist,NA,-0.9,7,1476,2024-09-17,Pennsylvania,Kamala Harris,49,2024
Marist,NA,-0.9,7,1194,2024-09-17,Wisconsin,Kamala Harris,50,2024
Marist,NA,-0.9,7,1138,2024-09-17,Michigan,Kamala Harris,52,2024
Data for Progress,NA,-1.2,10,6152,2024-09-17,National,Kamala Harris,50,2024
Beacon/Shaw,FOX News,-1.1,9,876,2024-09-16,National,Kamala Harris,50,2024
Quinnipiac,NA,-0.5,9,1331,2024-09-16,Pennsylvania,Kamala Harris,51,2024
Quinnipiac,NA,-0.5,9,905,2024-09-16,Michigan,Kamala Harris,50,2024
Quinnipiac,NA,-0.5,9,1075,2024-09-16,Wisconsin,Kamala Harris,48,2024
U. New Hampshire,NA,-0.3,10,683,2024-09-16,Rhode Island,Kamala Harris,58,2024
U. New Hampshire,NA,-0.3,10,564,2024-09-16,Massachusetts,Kamala Harris,62,2024
U. New Hampshire,NA,-0.3,10,1695,2024-09-16,New Hampshire,Kamala Harris,54,2024
The Washington Post,NA,-1.2,9,1003,2024-09-16,Pennsylvania,Kamala Harris,48,2024
Siena/NYT,NA,-1.5,9,2437,2024-09-16,National,Kamala Harris,47,2024
Siena,NA,-0.8,7,1003,2024-09-16,New York,Kamala Harris,52,2024
Siena/NYT,The Philadelphia Inquirer,-1.5,9,1082,2024-09-16,Pennsylvania,Kamala Harris,50,2024
Suffolk,USA Today,-1,8,500,2024-09-14,Pennsylvania,Kamala Harris,48.6,2024
Data for Progress,NA,-1.2,10,1283,2024-09-13,National,Kamala Harris,50,2024
Emerson,The Hill | WDVM (DC News Now),-1.1,7,890,2024-09-13,Maryland,Kamala Harris,65.3,2024
Emerson,The Hill,-1.1,7,850,2024-09-13,Missouri,Kamala Harris,43.4,2024
Emerson,The Hill,-1.1,7,1000,2024-09-13,Indiana,Kamala Harris,40.7,2024
YouGov,Yahoo News,-1.1,9,1090,2024-09-13,National,Kamala Harris,50,2024
Ipsos,ABC News,-0.9,9.5,2196,2024-09-13,National,Kamala Harris,52,2024
AtlasIntel,NA,-0.8,6,1775,2024-09-12,National,Kamala Harris,48,2024
Selzer,Des Moines Register | Mediacom,-1.2,7.5,656,2024-09-11,Iowa,Kamala Harris,43,2024
Data Orbital,AZ Free News,-0.9,10,550,2024-09-09,Arizona,Kamala Harris,46,2024
PPIC,NA,-0.4,10,1071,2024-09-09,California,Kamala Harris,60,2024
Quinnipiac,NA,-0.5,9,940,2024-09-08,North Carolina,Kamala Harris,49,2024
Quinnipiac,NA,-0.5,9,969,2024-09-08,Georgia,Kamala Harris,45,2024
Washington Post/George Mason University,NA,-0.8,9,1005,2024-09-08,Virginia,Kamala Harris,50,2024
SurveyUSA,WRAL News,-1.3,8,676,2024-09-07,North Carolina,Kamala Harris,49,2024
YouGov,CBS News,-1.1,9,1077,2024-09-06,Michigan,Kamala Harris,50,2024
YouGov,CBS News,-1.1,9,1078,2024-09-06,Pennsylvania,Kamala Harris,50,2024
YouGov,CBS News,-1.1,9,946,2024-09-06,Wisconsin,Kamala Harris,51,2024
Siena/NYT,NA,-1.5,9,1695,2024-09-06,National,Kamala Harris,47,2024
Emerson,The Hill,-1.1,7,815,2024-09-05,California,Kamala Harris,60.8,2024
Emerson,The Hill,-1.1,7,815,2024-09-05,Florida,Kamala Harris,47.6,2024
Emerson,The Hill,-1.1,7,845,2024-09-05,Texas,Kamala Harris,48,2024
Emerson,The Hill,-1.1,7,945,2024-09-05,Ohio,Kamala Harris,44.7,2024
Marquette Law School,NA,-1.1,10,738,2024-09-05,Wisconsin,Kamala Harris,52,2024
Emerson,NA,-1.1,7,1000,2024-09-04,National,Kamala Harris,51.3,2024
SurveyUSA,KSTP-TV Minneapolis | KAAL-TV | WDIO-TV Duluth,-1.3,8,635,2024-08-29,Minnesota,Kamala Harris,48,2024
CNN/SSRS,NA,-0.6,10,682,2024-08-29,Arizona,Kamala Harris,44,2024
CNN/SSRS,NA,-0.6,10,617,2024-08-29,Georgia,Kamala Harris,48,2024
CNN/SSRS,NA,-0.6,10,708,2024-08-29,Michigan,Kamala Harris,48,2024
CNN/SSRS,NA,-0.6,10,626,2024-08-29,Nevada,Kamala Harris,48,2024
CNN/SSRS,NA,-0.6,10,789,2024-08-29,Pennsylvania,Kamala Harris,47,2024
CNN/SSRS,NA,-0.6,10,976,2024-08-29,Wisconsin,Kamala Harris,50,2024
East Carolina University,NA,-0.5,7,920,2024-08-28,North Carolina,Kamala Harris,46.9,2024
Emerson,The Hill,-1.1,7,720,2024-08-28,Arizona,Kamala Harris,47.5,2024
Emerson,The Hill,-1.1,7,800,2024-08-28,Michigan,Kamala Harris,51.2,2024
Emerson,The Hill,-1.1,7,1168,2024-08-28,Nevada,Kamala Harris,49.4,2024
Emerson,The Hill,-1.1,7,950,2024-08-28,Pennsylvania,Kamala Harris,49.4,2024
Emerson,The Hill,-1.1,7,850,2024-08-28,Wisconsin,Kamala Harris,49.1,2024
Emerson,The Hill,-1.1,7,775,2024-08-28,North Carolina,Kamala Harris,49,2024
Emerson,The Hill,-1.1,7,800,2024-08-28,Georgia,Kamala Harris,50.1,2024
Suffolk,USA Today,-1,8,1000,2024-08-28,National,Kamala Harris,47.6,2024
Quinnipiac,NA,-0.5,9,1611,2024-08-27,National,Kamala Harris,49,2024
Ipsos,ABC News,-0.9,9.5,NA,2024-08-27,National,Kamala Harris,52,2024
Echelon Insights,NA,-0.8,9,1031,2024-08-25,National,Kamala Harris,48,2024
YouGov,CATO Institute,-1.1,9,NA,2024-08-23,Pennsylvania,Kamala Harris,47,2024
YouGov,CATO Institute,-1.1,9,NA,2024-08-23,Wisconsin,Kamala Harris,51,2024
YouGov,CATO Institute,-1.1,9,NA,2024-08-23,Michigan,Kamala Harris,47,2024
SurveyUSA/High Point University,NA,-1.3,10,941,2024-08-21,North Carolina,Kamala Harris,47,2024
U. New Hampshire,NA,-0.3,10,2048,2024-08-19,New Hampshire,Kamala Harris,50,2024
U. New Hampshire,NA,-0.3,10,924,2024-08-19,Vermont,Kamala Harris,67,2024
U. New Hampshire,NA,-0.3,10,951,2024-08-19,Maine,Kamala Harris,55,2024
U. New Hampshire,NA,-0.3,10,490,2024-08-19,Maine CD-1,Kamala Harris,62,2024
U. New Hampshire,NA,-0.3,10,476,2024-08-19,Maine CD-1,Kamala Harris,64,2024
U. New Hampshire,NA,-0.3,10,443,2024-08-19,Maine CD-2,Kamala Harris,49,2024
U. New Hampshire,NA,-0.3,10,432,2024-08-19,Maine CD-2,Kamala Harris,52,2024
Remington,NA,-0.6,7,656,2024-08-17,Nebraska CD-2,Kamala Harris,50,2024
YouGov,CBS News,-1.1,9,3253,2024-08-16,National,Kamala Harris,51,2024
Roanoke College,NA,-0.4,7,691,2024-08-16,Virginia,Kamala Harris,47,2024
YouGov,Saint Louis University,-1.1,9,900,2024-08-16,Missouri,Kamala Harris,41,2024
Siena/NYT,NA,-1.5,9,677,2024-08-15,Nevada,Kamala Harris,47,2024
Siena/NYT,NA,-1.5,9,677,2024-08-15,Arizona,Kamala Harris,50,2024
Data for Progress,NA,-1.2,10,6067,2024-08-15,National,Kamala Harris,49,2024
Emerson,RealClearPennsylvania,-1.1,7,1000,2024-08-14,Pennsylvania,Kamala Harris,49.3,2024
Emerson,NA,-1.1,7,1000,2024-08-14,National,Kamala Harris,52.3,2024
Siena/NYT,NA,-1.5,9,655,2024-08-14,North Carolina,Kamala Harris,49,2024
Siena/NYT,NA,-1.5,9,661,2024-08-14,Georgia,Kamala Harris,46,2024
Ipsos,The Washington Post | ABC News,-0.9,9.5,1505,2024-08-13,National,Kamala Harris,51,2024
Quinnipiac,NA,-0.5,9,1738,2024-08-12,Pennsylvania,Kamala Harris,48,2024
Suffolk,USA Today | WSVN,-1,8,500,2024-08-11,Florida,Kamala Harris,41.8,2024
UC Berkeley,LA Times,-0.2,9,3765,2024-08-11,California,Kamala Harris,59,2024
Siena/NYT,NA,-1.5,9,693,2024-08-09,Pennsylvania,Kamala Harris,50,2024
Siena/NYT,NA,-1.5,9,619,2024-08-08,Michigan,Kamala Harris,50,2024
Siena/NYT,NA,-1.5,9,661,2024-08-08,Wisconsin,Kamala Harris,50,2024
Emerson,The Hill,-1.1,7,1000,2024-08-06,Montana,Kamala Harris,42.5,2024
SurveyUSA,NA,-1.3,8,1510,2024-08-05,National,Kamala Harris,48,2024
YouGov,CBS News,-1.1,9,3092,2024-08-02,National,Kamala Harris,50,2024
Siena,Newsday,-0.8,7,1199,2024-08-01,New York,Kamala Harris,53,2024
Marquette Law School,NA,-1.1,10,801,2024-08-01,Wisconsin,Kamala Harris,50,2024
Marquette Law School,NA,-1.1,10,683,2024-08-01,National,Kamala Harris,53,2024
U. North Florida,NA,-0.6,10,774,2024-07-27,Florida,Kamala Harris,42,2024
U. New Hampshire,NA,-0.3,10,1445,2024-07-25,Maine,Kamala Harris,48,2024
U. New Hampshire,NA,-0.3,10,2875,2024-07-25,New Hampshire,Kamala Harris,49,2024
SurveyUSA,KSTP-TV Minneapolis | KAAL-TV | WDIO-TV Duluth,-1.3,8,656,2024-07-25,Minnesota,Kamala Harris,50,2024
U. New Hampshire,NA,-0.3,10,732,2024-07-25,Maine CD-1,Kamala Harris,56,2024
U. New Hampshire,NA,-0.3,10,701,2024-07-25,Maine CD-2,Kamala Harris,40,2024
Siena/NYT,NA,-1.5,9,1142,2024-07-24,National,Kamala Harris,47,2024
YouGov,The Times of London | SAY24,-1.1,9,1155,2024-07-23,National,Kamala Harris,44,2024
Echelon Insights,NA,-0.8,9,982,2024-07-21,National,Kamala Harris,47,2024
