pollster,sponsors,pollscore,transparency_score,sample_size,end_date,state,candidate_name,pct,cycle
YouGov,Yahoo News,-1.1,8,1125,2020-09-23,National,Donald Trump,44,2020
YouGov,Economist,-1.1,9,1124,2020-09-22,National,Donald Trump,42,2020
Siena/NYT,NA,-1.5,8,501,2020-09-22,Iowa,Donald Trump,42,2020
Siena/NYT,NA,-1.5,8,653,2020-09-22,Texas,Donald Trump,46,2020
YouGov,Hofstra University Kalikow Center for the Study of the American Presidency,-1.1,9,2000,2020-09-22,National,Donald Trump,41.9,2020
Siena/NYT,NA,-1.5,8,523,2020-09-21,Georgia,Donald Trump,45,2020
YouGov,University of Wisconsin–Madison,-1.1,9,641,2020-09-21,Michigan,Donald Trump,45,2020
YouGov,University of Wisconsin–Madison,-1.1,9,642,2020-09-21,Pennsylvania,Donald Trump,45,2020
YouGov,University of Wisconsin–Madison | Wisconsin State Journal,-1.1,9,664,2020-09-21,Wisconsin,Donald Trump,46,2020
ABC/Washington Post,NA,-1.2,9,579,2020-09-20,Arizona,Donald Trump,49,2020
ABC/Washington Post,NA,-1.2,9,613,2020-09-20,Florida,Donald Trump,51,2020
YouGov,CBS News,-1.1,9,1205,2020-09-18,Florida,Donald Trump,46,2020
YouGov,CBS News,-1.1,9,1140,2020-09-18,Texas,Donald Trump,48,2020
Siena/NYT,NA,-1.5,8,625,2020-09-16,Montana,Donald Trump,49,2020
Siena/NYT,NA,-1.5,8,663,2020-09-16,Maine,Donald Trump,38,2020
Siena/NYT,NA,-1.5,8,653,2020-09-16,North Carolina,Donald Trump,44,2020
Siena/NYT,NA,-1.5,8,440,2020-09-16,Maine CD-2,Donald Trump,45,2020
YouGov,Economist,-1.1,9,1062,2020-09-15,National,Donald Trump,42,2020
Siena/NYT,NA,-1.5,8,653,2020-09-15,Arizona,Donald Trump,40,2020
Marquette Law School,NA,-1.1,10,1357,2020-09-15,National,Donald Trump,40,2020
ABC/Washington Post,NA,-1.2,9,615,2020-09-13,Minnesota,Donald Trump,41,2020
ABC/Washington Post,NA,-1.2,9,605,2020-09-13,Wisconsin,Donald Trump,46,2020
YouGov,CBS News,-1.1,9,1106,2020-09-11,Arizona,Donald Trump,44,2020
YouGov,CBS News,-1.1,9,1087,2020-09-11,Minnesota,Donald Trump,41,2020
Siena/NYT,NA,-1.5,8,445,2020-09-11,New Hampshire,Donald Trump,42,2020
Siena/NYT,NA,-1.5,8,814,2020-09-10,Minnesota,Donald Trump,41,2020
Siena/NYT,NA,-1.5,8,462,2020-09-10,Nevada,Donald Trump,42,2020
Siena/NYT,NA,-1.5,8,760,2020-09-10,Wisconsin,Donald Trump,43,2020
YouGov,Economist,-1.1,9,1057,2020-09-08,National,Donald Trump,43,2020
YouGov,CBS News,-1.1,NA,2433,2020-09-04,National,Donald Trump,42,2020
YouGov,CBS News,-1.1,NA,978,2020-09-04,Wisconsin,Donald Trump,44,2020
Marquette Law School,NA,-1.1,NA,688,2020-09-03,Wisconsin,Donald Trump,44,2020
YouGov,NA,-1.1,NA,934,2020-08-22,National,Donald Trump,42,2020
YouGov,Yahoo News,-1.1,NA,1027,2020-08-15,National,Donald Trump,41,2020
ABC/Washington Post,NA,-1.2,NA,707,2020-08-15,National,Donald Trump,44,2020
YouGov,CBS News,-1.1,NA,2152,2020-08-14,National,Donald Trump,42,2020
Marquette Law School,NA,-1.1,NA,694,2020-08-09,Wisconsin,Donald Trump,46,2020
YouGov,CBS News,-1.1,NA,1211,2020-08-07,Pennsylvania,Donald Trump,43,2020
YouGov,CBS News,-1.1,NA,994,2020-08-07,Wisconsin,Donald Trump,42,2020
YouGov,CBS News,-1.1,NA,1129,2020-07-31,North Carolina,Donald Trump,44,2020
YouGov,CBS News,-1.1,NA,1109,2020-07-31,Georgia,Donald Trump,45,2020
YouGov,CBS News,-1.1,NA,1401,2020-07-24,National,Donald Trump,41,2020
YouGov,CBS News,-1.1,NA,1156,2020-07-24,Michigan,Donald Trump,42,2020
YouGov,CBS News,-1.1,NA,1211,2020-07-24,Ohio,Donald Trump,46,2020
ABC/Washington Post,NA,-1.2,NA,673,2020-07-15,National,Donald Trump,44,2020
YouGov,CBS News,-1.1,NA,1087,2020-07-10,Arizona,Donald Trump,46,2020
YouGov,CBS News,-1.1,NA,1206,2020-07-10,Florida,Donald Trump,42,2020
YouGov,CBS News,-1.1,NA,1185,2020-07-10,Texas,Donald Trump,46,2020
YouGov,Saint Louis University,-1.1,NA,900,2020-07-01,Missouri,Donald Trump,49.6,2020
Marquette Law School,NA,-1.1,NA,686,2020-06-18,Wisconsin,Donald Trump,44,2020
YouGov,CBS News,-1.1,NA,1486,2020-06-01,National,Donald Trump,43,2020
Marquette Law School,NA,-1.1,NA,650,2020-05-07,Wisconsin,Donald Trump,45,2020
YouGov,CBS News,-1.1,NA,1671,2020-05-01,National,Donald Trump,43,2020
YouGov,Hofstra University Kalikow Center for the Study of the American Presidency,-1.1,NA,1500,2020-03-12,National,Donald Trump,49.4,2020
YouGov,USC Price | USC Schwarzenegger,-1.1,NA,1200,2020-02-15,California,Donald Trump,30.4,2020
Marquette Law School,NA,-1.1,NA,701,2020-01-12,Wisconsin,Donald Trump,47,2020
Marquette Law School,NA,-1.1,NA,652,2019-12-08,Wisconsin,Donald Trump,47,2020
Marquette Law School,NA,-1.1,NA,685,2019-11-17,Wisconsin,Donald Trump,48,2020
Marquette Law School,NA,-1.1,NA,345,2019-11-17,Wisconsin,Donald Trump,53,2020
Marquette Law School,NA,-1.1,NA,340,2019-11-17,Wisconsin,Donald Trump,45,2020
YouGov,Hofstra University Kalikow Center for the Study of the American Presidency,-1.1,NA,1500,2019-10-31,National,Donald Trump,48.5,2020
Siena/NYT,NA,-1.5,NA,650,2019-10-26,Florida,Donald Trump,44.48,2020
Siena/NYT,NA,-1.5,NA,651,2019-10-26,North Carolina,Donald Trump,47.86,2020
Siena/NYT,NA,-1.5,NA,651,2019-10-26,Wisconsin,Donald Trump,44.33,2020
Siena/NYT,NA,-1.5,NA,501,2019-10-25,Michigan,Donald Trump,44.07,2020
Siena/NYT,NA,-1.5,NA,661,2019-10-25,Pennsylvania,Donald Trump,44.85,2020
Siena/NYT,NA,-1.5,NA,652,2019-10-23,Arizona,Donald Trump,46.16,2020
Marquette Law School,NA,-1.1,NA,657,2019-10-17,Wisconsin,Donald Trump,44,2020
Marquette Law School,NA,-1.1,NA,672,2019-08-29,Wisconsin,Donald Trump,44,2020
