pollster,has_sponsor,numeric_grade,pollscore,transparency_score,sample_size,end_date,state,candidate_name,pct,cycle
Quinnipiac,0,2.8,-0.5,9,1108,2024-10-21,Wisconsin,Donald Trump,48,2024
Ipsos,1,2.8,-0.9,9.5,3307,2024-10-21,National,Donald Trump,45,2024
Emerson,1,2.9,-1.1,7,860,2024-10-20,Florida,Donald Trump,53.6,2024
Suffolk,1,2.9,-1,8,1000,2024-10-18,National,Donald Trump,44.4,2024
U. North Florida,0,2.8,-0.6,10,977,2024-10-18,Florida,Donald Trump,53,2024
Siena,0,2.7,-0.8,7,872,2024-10-17,New York,Donald Trump,37,2024
AtlasIntel,0,2.7,-0.8,6,4180,2024-10-17,National,Donald Trump,50.7,2024
AtlasIntel,0,2.7,-0.8,6,1440,2024-10-17,Arizona,Donald Trump,49.2,2024
AtlasIntel,0,2.7,-0.8,6,1411,2024-10-17,Georgia,Donald Trump,49.5,2024
AtlasIntel,0,2.7,-0.8,6,1529,2024-10-17,Michigan,Donald Trump,49.6,2024
AtlasIntel,0,2.7,-0.8,6,1171,2024-10-17,Nevada,Donald Trump,48.4,2024
AtlasIntel,0,2.7,-0.8,6,1674,2024-10-17,North Carolina,Donald Trump,48.8,2024
AtlasIntel,0,2.7,-0.8,6,2048,2024-10-17,Pennsylvania,Donald Trump,49.8,2024
AtlasIntel,0,2.7,-0.8,6,932,2024-10-17,Wisconsin,Donald Trump,48.2,2024
Emerson,0,2.9,-1.1,7,1000,2024-10-16,National,Donald Trump,49.2,2024
YouGov,1,3,-1.1,9,1435,2024-10-16,Arizona,Donald Trump,51,2024
YouGov,1,3,-1.1,9,1314,2024-10-15,National,Donald Trump,45,2024
PPIC,0,2.5,-0.4,10,1137,2024-10-15,California,Donald Trump,33,2024
Washington Post/George Mason University,0,2.7,-0.8,9,580,2024-10-15,Arizona,Donald Trump,49,2024
Washington Post/George Mason University,0,2.7,-0.8,9,730,2024-10-15,Georgia,Donald Trump,47,2024
Washington Post/George Mason University,0,2.7,-0.8,9,687,2024-10-15,Michigan,Donald Trump,47,2024
Washington Post/George Mason University,0,2.7,-0.8,9,652,2024-10-15,Nevada,Donald Trump,48,2024
Washington Post/George Mason University,0,2.7,-0.8,9,965,2024-10-15,North Carolina,Donald Trump,50,2024
Washington Post/George Mason University,0,2.7,-0.8,9,707,2024-10-15,Pennsylvania,Donald Trump,47,2024
Washington Post/George Mason University,0,2.7,-0.8,9,695,2024-10-15,Wisconsin,Donald Trump,47,2024
Emerson,1,2.9,-1.1,7,1000,2024-10-14,California,Donald Trump,36.6,2024
Beacon/Shaw,1,2.8,-1.1,9,870,2024-10-14,National,Donald Trump,50,2024
Quinnipiac,0,2.8,-0.5,9,1328,2024-10-14,Georgia,Donald Trump,52,2024
Quinnipiac,0,2.8,-0.5,9,1031,2024-10-14,North Carolina,Donald Trump,47,2024
SurveyUSA,1,2.8,-1.3,8,703,2024-10-14,Washington,Donald Trump,35,2024
East Carolina University,0,2.6,-0.5,7,701,2024-10-14,Georgia,Donald Trump,48.9,2024
Ipsos,1,2.8,-0.9,9.5,769,2024-10-13,National,Donald Trump,44,2024
YouGov,1,3,-1.1,9,2712,2024-10-11,National,Donald Trump,48,2024
Marist,0,2.9,-0.9,9,1401,2024-10-10,National,Donald Trump,47,2024
Siena/NYT,1,3,-1.5,9,857,2024-10-10,Pennsylvania,Donald Trump,47,2024
Siena/NYT,0,3,-1.5,9,808,2024-10-10,Arizona,Donald Trump,51,2024
University of Massachusetts Lowell/YouGov,0,2.9,-1,9,600,2024-10-10,New Hampshire,Donald Trump,41,2024
YouGov,1,3,-1.1,9,1091,2024-10-10,Texas,Donald Trump,51,2024
Marquette Law School,0,3,-1.1,10,652,2024-10-10,National,Donald Trump,50,2024
University of Massachusetts Lowell/YouGov,0,2.9,-1,9,800,2024-10-09,Pennsylvania,Donald Trump,45,2024
Emerson,1,2.9,-1.1,7,1000,2024-10-08,Arizona,Donald Trump,50.5,2024
Emerson,1,2.9,-1.1,7,1000,2024-10-08,Georgia,Donald Trump,49.7,2024
Emerson,1,2.9,-1.1,7,950,2024-10-08,Michigan,Donald Trump,49.6,2024
Emerson,1,2.9,-1.1,7,900,2024-10-08,Nevada,Donald Trump,48.1,2024
Emerson,1,2.9,-1.1,7,1000,2024-10-08,North Carolina,Donald Trump,49.9,2024
Emerson,1,2.9,-1.1,7,1000,2024-10-08,Pennsylvania,Donald Trump,49.7,2024
Emerson,1,2.9,-1.1,7,1000,2024-10-08,Wisconsin,Donald Trump,49.9,2024
Siena/NYT,0,3,-1.5,9,656,2024-10-08,Montana,Donald Trump,57,2024
Ipsos,1,2.8,-0.9,9.5,1714,2024-10-08,National,Donald Trump,48,2024
YouGov,1,3,-1.1,9,1230,2024-10-07,National,Donald Trump,45,2024
Ipsos,1,2.8,-0.9,9.5,1076,2024-10-07,National,Donald Trump,45,2024
Quinnipiac,0,2.8,-0.5,9,1007,2024-10-07,Michigan,Donald Trump,50,2024
Quinnipiac,0,2.8,-0.5,9,1412,2024-10-07,Pennsylvania,Donald Trump,46,2024
Quinnipiac,0,2.8,-0.5,9,1073,2024-10-07,Wisconsin,Donald Trump,48,2024
Marist,0,2.9,-0.9,9,1257,2024-10-07,Florida,Donald Trump,51,2024
Marist,0,2.9,-0.9,9,1186,2024-10-07,Texas,Donald Trump,53,2024
Marist,0,2.9,-0.9,9,1327,2024-10-07,Ohio,Donald Trump,52,2024
The Washington Post,0,3,-1.2,9,1002,2024-10-07,Ohio,Donald Trump,51,2024
Siena/NYT,0,3,-1.5,9,3385,2024-10-06,National,Donald Trump,46,2024
Siena/NYT,0,3,-1.5,9,622,2024-10-06,Florida,Donald Trump,55,2024
Suffolk,1,2.9,-1,8,500,2024-10-05,Massachusetts,Donald Trump,32.2,2024
YouGov,1,3,-1.1,9,1032,2024-10-04,National,Donald Trump,47,2024
YouGov,1,3,-1.1,9,1033,2024-10-04,National,Donald Trump,47,2024
Mason-Dixon,1,2.6,-1.1,6,625,2024-10-04,Florida,Donald Trump,49,2024
Siena/NYT,0,3,-1.5,9,617,2024-10-04,Texas,Donald Trump,50,2024
Christopher Newport U.,0,2.8,-0.6,9,800,2024-10-04,Virginia,Donald Trump,41,2024
Data for Progress,0,2.6,-1.2,10,1211,2024-10-03,National,Donald Trump,46,2024
YouGov,1,3,-1.1,9,1261,2024-10-01,National,Donald Trump,46,2024
Emerson,0,2.9,-1.1,7,1000,2024-10-01,National,Donald Trump,48.6,2024
Marist,1,2.9,-0.9,9,1294,2024-10-01,National,Donald Trump,48,2024
UC Berkeley,1,2.5,-0.2,9,3045,2024-10-01,California,Donald Trump,35,2024
The Washington Post,0,3,-1.2,9,1001,2024-09-29,North Carolina,Donald Trump,50,2024
Quinnipiac,0,2.8,-0.5,9,953,2024-09-29,North Carolina,Donald Trump,49,2024
Quinnipiac,0,2.8,-0.5,9,942,2024-09-29,Georgia,Donald Trump,50,2024
Winthrop U.,0,2.5,-0.3,8.5,1068,2024-09-29,South Carolina,Donald Trump,51.6,2024
High Point University,0,2.5,-0.4,8,589,2024-09-29,North Carolina,Donald Trump,48,2024
Emerson,1,2.9,-1.1,7,920,2024-09-28,Arizona,Donald Trump,51.7,2024
Emerson,1,2.9,-1.1,7,850,2024-09-28,North Carolina,Donald Trump,49.9,2024
Emerson,1,2.9,-1.1,7,1000,2024-09-28,Pennsylvania,Donald Trump,48.8,2024
McCourtney Institute/YouGov,0,3,-1.1,6.5,848,2024-09-27,National,Donald Trump,45,2024
Siena/NYT,0,3,-1.5,9,680,2024-09-26,Nebraska CD-2,Donald Trump,43,2024
SurveyUSA,1,2.8,-1.3,8,646,2024-09-26,Minnesota,Donald Trump,44,2024
East Carolina University,0,2.6,-0.5,7,1005,2024-09-26,North Carolina,Donald Trump,49.4,2024
Siena/NYT,0,3,-1.5,9,688,2024-09-26,Michigan,Donald Trump,47,2024
Siena/NYT,0,3,-1.5,9,687,2024-09-26,Ohio,Donald Trump,50,2024
Siena/NYT,0,3,-1.5,9,680,2024-09-26,Wisconsin,Donald Trump,47,2024
Marquette Law School,0,3,-1.1,10,798,2024-09-26,Wisconsin,Donald Trump,48,2024
Echelon Insights,0,2.7,-0.8,9,1005,2024-09-25,National,Donald Trump,45,2024
Emerson,1,2.9,-1.1,7,1000,2024-09-25,New York,Donald Trump,41.6,2024
CNN/SSRS,0,2.8,-0.6,10,931,2024-09-25,North Carolina,Donald Trump,48,2024
CNN/SSRS,0,2.8,-0.6,10,749,2024-09-25,Nebraska CD-2,Donald Trump,42,2024
AtlasIntel,0,2.7,-0.8,6,946,2024-09-25,Arizona,Donald Trump,49.7,2024
AtlasIntel,0,2.7,-0.8,6,918,2024-09-25,Michigan,Donald Trump,50.4,2024
AtlasIntel,0,2.7,-0.8,6,858,2024-09-25,Nevada,Donald Trump,47.7,2024
AtlasIntel,0,2.7,-0.8,6,1775,2024-09-25,Pennsylvania,Donald Trump,50.6,2024
AtlasIntel,0,2.7,-0.8,6,1077,2024-09-25,Wisconsin,Donald Trump,49.6,2024
AtlasIntel,0,2.7,-0.8,6,1173,2024-09-25,North Carolina,Donald Trump,47.3,2024
AtlasIntel,0,2.7,-0.8,6,1200,2024-09-25,Georgia,Donald Trump,49.3,2024
Emerson,1,2.9,-1.1,7,950,2024-09-24,Texas,Donald Trump,52.3,2024
Emerson,1,2.9,-1.1,7,860,2024-09-24,Virginia,Donald Trump,46.2,2024
YouGov,1,3,-1.1,9,1220,2024-09-24,National,Donald Trump,46,2024
YouGov,1,3,-1.1,9,1441,2024-09-24,Georgia,Donald Trump,51,2024
Beacon/Shaw,1,2.8,-1.1,9,764,2024-09-24,Arizona,Donald Trump,50,2024
Beacon/Shaw,1,2.8,-1.1,9,707,2024-09-24,Georgia,Donald Trump,48,2024
Beacon/Shaw,1,2.8,-1.1,9,787,2024-09-24,North Carolina,Donald Trump,49,2024
Beacon/Shaw,1,2.8,-1.1,9,775,2024-09-24,Pennsylvania,Donald Trump,48,2024
Marist,0,2.9,-0.9,9,1264,2024-09-24,Arizona,Donald Trump,50,2024
Marist,0,2.9,-0.9,9,1348,2024-09-24,North Carolina,Donald Trump,49,2024
Marist,0,2.9,-0.9,9,1220,2024-09-24,Georgia,Donald Trump,50,2024
Suffolk,1,2.9,-1,8,500,2024-09-24,Arizona,Donald Trump,48.4,2024
SurveyUSA,0,2.8,-1.3,8,558,2024-09-23,Nebraska,Donald Trump,56,2024
University of Maryland/Washington Post,0,2.5,-0.3,8,1012,2024-09-23,Maryland,Donald Trump,31,2024
Ipsos,1,2.8,-0.9,9.5,785,2024-09-22,National,Donald Trump,44,2024
CNN/SSRS,0,2.8,-0.6,10,2074,2024-09-22,National,Donald Trump,47,2024
Quinnipiac,0,2.8,-0.5,9,1728,2024-09-22,National,Donald Trump,48,2024
Siena/NYT,0,3,-1.5,9,713,2024-09-21,Arizona,Donald Trump,50,2024
Siena/NYT,0,3,-1.5,9,682,2024-09-21,Georgia,Donald Trump,49,2024
Siena/NYT,0,3,-1.5,9,682,2024-09-21,North Carolina,Donald Trump,49,2024
YouGov,1,3,-1.1,9,3129,2024-09-20,National,Donald Trump,48,2024
Remington,1,2.6,-0.6,7,800,2024-09-20,Michigan,Donald Trump,47,2024
Remington,1,2.6,-0.6,7,800,2024-09-20,Nevada,Donald Trump,49,2024
Remington,1,2.6,-0.6,7,800,2024-09-20,Pennsylvania,Donald Trump,48,2024
Remington,1,2.6,-0.6,7,800,2024-09-20,Wisconsin,Donald Trump,48,2024
Remington,1,2.6,-0.6,7,800,2024-09-20,Montana,Donald Trump,56,2024
Muhlenberg,1,2.8,-1,8,450,2024-09-19,Pennsylvania,Donald Trump,48,2024
University of Massachusetts Lowell/YouGov,0,2.9,-1,9,650,2024-09-19,Michigan,Donald Trump,43,2024
University of Massachusetts Lowell/YouGov,0,2.9,-1,9,800,2024-09-19,Pennsylvania,Donald Trump,46,2024
Mason-Dixon,1,2.6,-1.1,6,800,2024-09-18,Minnesota,Donald Trump,43,2024
Suffolk,1,2.9,-1,8,500,2024-09-18,Michigan,Donald Trump,45.4,2024
Emerson,1,2.9,-1.1,7,868,2024-09-18,Arizona,Donald Trump,49.8,2024
Emerson,1,2.9,-1.1,7,975,2024-09-18,Georgia,Donald Trump,50.3,2024
Emerson,1,2.9,-1.1,7,875,2024-09-18,Michigan,Donald Trump,49.1,2024
Emerson,1,2.9,-1.1,7,895,2024-09-18,Nevada,Donald Trump,49,2024
Emerson,1,2.9,-1.1,7,880,2024-09-18,Pennsylvania,Donald Trump,49.3,2024
Emerson,1,2.9,-1.1,7,1000,2024-09-18,North Carolina,Donald Trump,49.3,2024
Emerson,1,2.9,-1.1,7,1000,2024-09-18,Wisconsin,Donald Trump,50.3,2024
MassINC Polling Group,1,2.8,-0.8,7,800,2024-09-18,Pennsylvania,Donald Trump,46,2024
MassINC Polling Group,1,2.8,-0.8,7,800,2024-09-18,Massachusetts,Donald Trump,32,2024
SurveyUSA,1,2.8,-1.3,8,619,2024-09-18,New Mexico,Donald Trump,42,2024
MassINC Polling Group,1,2.8,-0.8,7,800,2024-09-18,Wisconsin,Donald Trump,45,2024
MassINC Polling Group,1,2.8,-0.8,7,800,2024-09-18,Connecticut,Donald Trump,37,2024
MassINC Polling Group,1,2.8,-0.8,7,800,2024-09-18,Rhode Island,Donald Trump,40,2024
Marist,0,2.9,-0.9,7,1476,2024-09-17,Pennsylvania,Donald Trump,49,2024
Marist,0,2.9,-0.9,7,1194,2024-09-17,Wisconsin,Donald Trump,49,2024
Marist,0,2.9,-0.9,7,1138,2024-09-17,Michigan,Donald Trump,47,2024
Data for Progress,0,2.6,-1.2,10,6152,2024-09-17,National,Donald Trump,45,2024
Beacon/Shaw,1,2.8,-1.1,9,876,2024-09-16,National,Donald Trump,48,2024
Quinnipiac,0,2.8,-0.5,9,1331,2024-09-16,Pennsylvania,Donald Trump,45,2024
Quinnipiac,0,2.8,-0.5,9,905,2024-09-16,Michigan,Donald Trump,45,2024
Quinnipiac,0,2.8,-0.5,9,1075,2024-09-16,Wisconsin,Donald Trump,47,2024
U. New Hampshire,0,2.6,-0.3,10,683,2024-09-16,Rhode Island,Donald Trump,38,2024
U. New Hampshire,0,2.6,-0.3,10,564,2024-09-16,Massachusetts,Donald Trump,31,2024
U. New Hampshire,0,2.6,-0.3,10,1695,2024-09-16,New Hampshire,Donald Trump,43,2024
The Washington Post,0,3,-1.2,9,1003,2024-09-16,Pennsylvania,Donald Trump,47,2024
Siena/NYT,0,3,-1.5,9,2437,2024-09-16,National,Donald Trump,47,2024
Siena,0,2.7,-0.8,7,1003,2024-09-16,New York,Donald Trump,40,2024
Siena/NYT,1,3,-1.5,9,1082,2024-09-16,Pennsylvania,Donald Trump,46,2024
Suffolk,1,2.9,-1,8,500,2024-09-14,Pennsylvania,Donald Trump,45.6,2024
Data for Progress,0,2.6,-1.2,10,1283,2024-09-13,National,Donald Trump,46,2024
Emerson,1,2.9,-1.1,7,890,2024-09-13,Maryland,Donald Trump,33.3,2024
Emerson,1,2.9,-1.1,7,850,2024-09-13,Missouri,Donald Trump,55.2,2024
Emerson,1,2.9,-1.1,7,1000,2024-09-13,Indiana,Donald Trump,57.9,2024
YouGov,1,3,-1.1,9,1090,2024-09-13,National,Donald Trump,46,2024
Ipsos,1,2.8,-0.9,9.5,2196,2024-09-13,National,Donald Trump,46,2024
AtlasIntel,0,2.7,-0.8,6,1775,2024-09-12,National,Donald Trump,50.9,2024
Selzer,1,2.8,-1.2,7.5,656,2024-09-11,Iowa,Donald Trump,47,2024
Data Orbital,1,2.9,-0.9,10,550,2024-09-09,Arizona,Donald Trump,46.2,2024
PPIC,0,2.5,-0.4,10,1071,2024-09-09,California,Donald Trump,29,2024
Quinnipiac,0,2.8,-0.5,9,940,2024-09-08,North Carolina,Donald Trump,46,2024
Quinnipiac,0,2.8,-0.5,9,969,2024-09-08,Georgia,Donald Trump,49,2024
Washington Post/George Mason University,0,2.7,-0.8,9,1005,2024-09-08,Virginia,Donald Trump,42,2024
SurveyUSA,1,2.8,-1.3,8,676,2024-09-07,North Carolina,Donald Trump,46,2024
YouGov,1,3,-1.1,9,1077,2024-09-06,Michigan,Donald Trump,49,2024
YouGov,1,3,-1.1,9,1078,2024-09-06,Pennsylvania,Donald Trump,50,2024
YouGov,1,3,-1.1,9,946,2024-09-06,Wisconsin,Donald Trump,49,2024
Siena/NYT,0,3,-1.5,9,1695,2024-09-06,National,Donald Trump,48,2024
Emerson,1,2.9,-1.1,7,815,2024-09-05,California,Donald Trump,38,2024
Emerson,1,2.9,-1.1,7,815,2024-09-05,Florida,Donald Trump,51.1,2024
Emerson,1,2.9,-1.1,7,845,2024-09-05,Texas,Donald Trump,50.9,2024
Emerson,1,2.9,-1.1,7,945,2024-09-05,Ohio,Donald Trump,54.3,2024
Marquette Law School,0,3,-1.1,10,738,2024-09-05,Wisconsin,Donald Trump,48,2024
Emerson,0,2.9,-1.1,7,1000,2024-09-04,National,Donald Trump,47.6,2024
SurveyUSA,1,2.8,-1.3,8,635,2024-08-29,Minnesota,Donald Trump,43,2024
CNN/SSRS,0,2.8,-0.6,10,682,2024-08-29,Arizona,Donald Trump,49,2024
CNN/SSRS,0,2.8,-0.6,10,617,2024-08-29,Georgia,Donald Trump,47,2024
CNN/SSRS,0,2.8,-0.6,10,708,2024-08-29,Michigan,Donald Trump,43,2024
CNN/SSRS,0,2.8,-0.6,10,626,2024-08-29,Nevada,Donald Trump,47,2024
CNN/SSRS,0,2.8,-0.6,10,789,2024-08-29,Pennsylvania,Donald Trump,47,2024
CNN/SSRS,0,2.8,-0.6,10,976,2024-08-29,Wisconsin,Donald Trump,44,2024
East Carolina University,0,2.6,-0.5,7,920,2024-08-28,North Carolina,Donald Trump,47.6,2024
Emerson,1,2.9,-1.1,7,720,2024-08-28,Arizona,Donald Trump,51.2,2024
Emerson,1,2.9,-1.1,7,800,2024-08-28,Michigan,Donald Trump,47.6,2024
Emerson,1,2.9,-1.1,7,1168,2024-08-28,Nevada,Donald Trump,48.8,2024
Emerson,1,2.9,-1.1,7,950,2024-08-28,Pennsylvania,Donald Trump,49.4,2024
Emerson,1,2.9,-1.1,7,850,2024-08-28,Wisconsin,Donald Trump,49.8,2024
Emerson,1,2.9,-1.1,7,775,2024-08-28,North Carolina,Donald Trump,49.9,2024
Emerson,1,2.9,-1.1,7,800,2024-08-28,Georgia,Donald Trump,49,2024
Suffolk,1,2.9,-1,8,1000,2024-08-28,National,Donald Trump,43.3,2024
Quinnipiac,0,2.8,-0.5,9,1611,2024-08-27,National,Donald Trump,47,2024
Echelon Insights,0,2.7,-0.8,9,1031,2024-08-25,National,Donald Trump,49,2024
SurveyUSA/High Point University,0,2.8,-1.3,10,941,2024-08-21,North Carolina,Donald Trump,47,2024
U. New Hampshire,0,2.6,-0.3,10,2048,2024-08-19,New Hampshire,Donald Trump,43,2024
U. New Hampshire,0,2.6,-0.3,10,924,2024-08-19,Vermont,Donald Trump,27,2024
U. New Hampshire,0,2.6,-0.3,10,951,2024-08-19,Maine,Donald Trump,38,2024
U. New Hampshire,0,2.6,-0.3,10,490,2024-08-19,Maine CD-1,Donald Trump,33,2024
U. New Hampshire,0,2.6,-0.3,10,476,2024-08-19,Maine CD-1,Donald Trump,36,2024
U. New Hampshire,0,2.6,-0.3,10,443,2024-08-19,Maine CD-2,Donald Trump,44,2024
U. New Hampshire,0,2.6,-0.3,10,432,2024-08-19,Maine CD-2,Donald Trump,47,2024
Remington,0,2.6,-0.6,7,656,2024-08-17,Nebraska CD-2,Donald Trump,42,2024
YouGov,1,3,-1.1,9,3253,2024-08-16,National,Donald Trump,48,2024
Roanoke College,0,2.6,-0.4,7,691,2024-08-16,Virginia,Donald Trump,44,2024
YouGov,1,3,-1.1,9,900,2024-08-16,Missouri,Donald Trump,54,2024
Siena/NYT,0,3,-1.5,9,677,2024-08-15,Nevada,Donald Trump,48,2024
Siena/NYT,0,3,-1.5,9,677,2024-08-15,Arizona,Donald Trump,45,2024
Data for Progress,0,2.6,-1.2,10,6067,2024-08-15,National,Donald Trump,46,2024
Emerson,1,2.9,-1.1,7,1000,2024-08-14,Pennsylvania,Donald Trump,50.7,2024
Emerson,0,2.9,-1.1,7,1000,2024-08-14,National,Donald Trump,47.7,2024
Siena/NYT,0,3,-1.5,9,655,2024-08-14,North Carolina,Donald Trump,47,2024
Siena/NYT,0,3,-1.5,9,661,2024-08-14,Georgia,Donald Trump,50,2024
Ipsos,1,2.8,-0.9,9.5,1505,2024-08-13,National,Donald Trump,45,2024
Quinnipiac,0,2.8,-0.5,9,1738,2024-08-12,Pennsylvania,Donald Trump,45,2024
Suffolk,1,2.9,-1,8,500,2024-08-11,Florida,Donald Trump,46.8,2024
UC Berkeley,1,2.5,-0.2,9,3765,2024-08-11,California,Donald Trump,34,2024
Siena/NYT,0,3,-1.5,9,693,2024-08-09,Pennsylvania,Donald Trump,46,2024
Siena/NYT,0,3,-1.5,9,619,2024-08-08,Michigan,Donald Trump,46,2024
Siena/NYT,0,3,-1.5,9,661,2024-08-08,Wisconsin,Donald Trump,46,2024
Emerson,1,2.9,-1.1,7,1000,2024-08-06,Montana,Donald Trump,57.5,2024
SurveyUSA,0,2.8,-1.3,8,1510,2024-08-05,National,Donald Trump,45,2024
YouGov,1,3,-1.1,9,3092,2024-08-02,National,Donald Trump,49,2024
Siena,1,2.7,-0.8,7,1199,2024-08-01,New York,Donald Trump,39,2024
Marquette Law School,0,3,-1.1,10,801,2024-08-01,Wisconsin,Donald Trump,49,2024
Marquette Law School,0,3,-1.1,10,683,2024-08-01,National,Donald Trump,47,2024
U. North Florida,0,2.8,-0.6,10,774,2024-07-27,Florida,Donald Trump,49,2024
U. New Hampshire,0,2.6,-0.3,10,1445,2024-07-25,Maine,Donald Trump,40,2024
U. New Hampshire,0,2.6,-0.3,10,2875,2024-07-25,New Hampshire,Donald Trump,43,2024
SurveyUSA,1,2.8,-1.3,8,656,2024-07-25,Minnesota,Donald Trump,40,2024
U. New Hampshire,0,2.6,-0.3,10,732,2024-07-25,Maine CD-1,Donald Trump,36,2024
U. New Hampshire,0,2.6,-0.3,10,701,2024-07-25,Maine CD-2,Donald Trump,44,2024
Siena/NYT,0,3,-1.5,9,1142,2024-07-24,National,Donald Trump,48,2024
YouGov,1,3,-1.1,9,1155,2024-07-23,National,Donald Trump,46,2024
Echelon Insights,0,2.7,-0.8,9,982,2024-07-21,National,Donald Trump,49,2024
